2019-04-11 23:09:33 INFO - Client request 194 requesting room L221 on day 3, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 191 requesting room L221 on day 2, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 192 requesting room L221 on day 2, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 189 requesting room T101 on day 2, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 190 requesting room CG04 on day 3, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 189 requesting room CG04 on day 2, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 190 requesting room CG04 on day 6, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 196 requesting room T101 on day 5, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 197 requesting room CG04 on day 1, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 195 requesting room L221 on day 3, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 189 requesting room CG04 on day 3, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 195 requesting room T101 on day 1, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 190 requesting room CG04 on day 4, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 198 requesting room XG14 on day 4, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 199 requesting room L221 on day 1, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 200 requesting room T101 on day 5, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 201 requesting room L221 on day 4, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 203 requesting room T101 on day 4, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 202 requesting room CG04 on day 2, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 195 requesting room XG14 on day 3, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 189 requesting room L221 on day 1, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 204 requesting room XG14 on day 5, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 205 requesting room L221 on day 2, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 206 requesting room CG04 on day 6, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 190 requesting room T101 on day 1, timeslot 1-2, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 196 requesting room L221 on day 4, timeslot 12-1, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 208 requesting room XG14 on day 3, timeslot 9-10, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 207 requesting room L221 on day 5, timeslot 11-12, at 5 seconds 
2019-04-11 23:09:33 INFO - Client request 209 requesting room T101 on day 5, timeslot 10-11, at 5 seconds 
2019-04-11 23:09:34 INFO - Client request 210 requesting room T101 on day 4, timeslot 11-12, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 211 requesting room T101 on day 6, timeslot 12-1, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 214 requesting room L221 on day 4, timeslot 11-12, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 213 requesting room CG04 on day 4, timeslot 1-2, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 212 requesting room T101 on day 4, timeslot 10-11, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 210 requesting room CG04 on day 6, timeslot 11-12, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 215 requesting room L221 on day 4, timeslot 12-1, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 217 requesting room L221 on day 5, timeslot 12-1, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 216 requesting room L221 on day 3, timeslot 10-11, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 212 requesting room L221 on day 3, timeslot 9-10, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 210 requesting room XG14 on day 6, timeslot 1-2, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 218 requesting room T101 on day 1, timeslot 1-2, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 211 requesting room T101 on day 6, timeslot 12-1, at 6 seconds 
2019-04-11 23:09:34 INFO - Client request 219 requesting room XG14 on day 5, timeslot 12-1, at 6 seconds 
